poi_id,xcoord,ycoord,sm13,post_code,sic_1,sic_2,sic_3,sic_4,sic_5,sic_6,naics_1,naics_2,naics_3,naics_4,naics_5
POI3084183,312049.9598,5048286.015,309,J4B 5E4,54110000,0,0,0,0,0,44511,0,0,0,0
POI4359990,310263.585,5047726.417,309,J4B 5Z5,79990000,56990000,0,0,0,0,71399,44819,0,0,0
POI4360016,309006.9748,5048520.053,309,J4B 5M7,60210000,62820000,63990000,64110000,63310000,0,52211,52393,524128,52421,524126
POI3084234,310003.0262,5047990.035,309,J4B 7G4,79220000,0,0,0,0,0,71131,71132,0,0,0
POI3082206,309535.9815,5050655.947,309,J4B 6Z4,87420000,0,0,0,0,0,541613,0,0,0,0
POI3936751,309261.0189,5052227.047,309,J4B 6W7,42250000,59840000,75190000,50820000,35240000,0,53113,454312,53212,333112,53231
POI4361490,309745.0379,5046545.002,309,J4B 7L9,87110000,0,0,0,0,0,54133,0,0,0,0
POI3083291,310401.0328,5050927.046,309,J4B 5E4,80410000,80930000,0,0,0,0,62131,621498,0,0,0
POI5097209,307826.9674,5049281.959,309,J4B 2X6,35690000,0,0,0,0,0,0,0,0,0,0
POI5103091,310397.97,5045974.001,309,J4B 8C4,76990000,0,0,0,0,0,0,0,0,0,0
POI5101509,309453.9788,5047200.011,309,J4B 6A1,39930000,50510000,0,0,0,0,0,0,0,0,0
POI5117944,308610.9855,5051326.999,309,J4B 6T3,50320000,52110000,0,0,0,0,44419,44411,0,0,0
POI1219216,313165.9707,5048160.049,309,J4B 5E4,35310000,7820000,51690000,0,0,0,33312,56173,23571,0,0
POI1219267,310870.018,5047263.013,309,J4B5H2,27890000,27520000,0,0,0,0,323121,323110,0,0,0
POI4965104,309979.0209,5050117.973,309,J4B 6P5,51490000,58120000,0,0,0,0,0,0,0,0,0
POI3354691,310481.9861,5045880.949,309,J4B 8C4,75380000,50130000,42310000,0,0,0,811111,42112,48849,0,0
POI1219637,308610.9855,5051326.999,309,J4B 6T3,64110000,63990000,63310000,0,0,0,0,0,0,0,0
