cor_id	cor_weight	cor_coordinates
61	1647.1399999999996	LINESTRING(301881.83119218174 5041708.820994908, 301796.7393424123 5041660.313788948)
62	1643.8500000000004	LINESTRING(303773.7195304584 5042923.210626997, 303858.9712809745 5042971.861642907)
63	1642.5	LINESTRING(303965.7867630445 5043346.153935181, 304041.4478408189 5043409.1026535835)
64	1640.6999999999998	LINESTRING(306450.12813660357 5043077.687515753, 306541.8857660096 5043113.040333191)
65	1639.5699999999997	LINESTRING(304826.4735132359 5042570.536182131, 304736.1808040963 5042532.096351969)
66	1630.56	LINESTRING(302066.2091363508 5041789.415054159, 301981.15969785315 5041740.872993596)
67	1630.56	LINESTRING(302236.6014658074 5041885.698901792, 302151.55202730984 5041837.156841229)
68	1626.6300000000003	LINESTRING(303327.9544907265 5042671.616081208, 303413.1567892593 5042720.319007453)
69	1622.3899999999999	LINESTRING(300180.9470532127 5040633.87640058, 300095.95961602736 5040585.204805841)
70	1622.3899999999994	LINESTRING(300911.4740693446 5041054.14581032, 300826.48663215945 5041005.474215578)
71	1622.1100000000004	LINESTRING(303914.5105820917 5043036.023716676, 303999.6179997574 5043084.952470534)
72	1622.1100000000004	LINESTRING(304252.3538418512 5043226.629748588, 304337.461259517 5043275.558502448)
73	1618.5300000000002	LINESTRING(307465.7937982923 5043522.240728389, 307464.71327508055 5043423.306903871)
74	1606.5199999999998	LINESTRING(305157.22459937655 5042729.007453818, 305247.57505570166 5042767.888117308)
75	1606.0399999999997	LINESTRING(302339.78918298386 5042120.026478605, 302254.701568716 5042071.205102473)
76	1605.73	LINESTRING(302161.5626636943 5041825.282340433, 302076.2467506287 5041777.126069697)
77	1604.2999999999997	LINESTRING(302973.02689066075 5041808.866115764, 302881.87021250563 5041772.061871586)
78	1602.44	LINESTRING(306915.60117499856 5046608.391659639, 306988.0695571665 5046675.708591053)
79	1599.4699999999998	LINESTRING(306292.54489842267 5045438.790469946, 306367.85844943364 5045502.552912108)
80	1599.1200000000003	LINESTRING(303694.36657802196 5042872.298095195, 303779.3775500035 5042921.367123444)
81	1590.7100000000005	LINESTRING(302715.1040548868 5042409.01164573, 302796.54994481034 5042464.023894198)
